Date,Venue,Race,Length
29/12/2018,Sha Tin,8,2000
29/12/2018,Sha Tin,9,1200
29/12/2018,Sha Tin,10,1400
26/12/2018,Happy Valley,1,1650
26/12/2018,Happy Valley,2,1650
26/12/2018,Happy Valley,5,1200
26/12/2018,Happy Valley,6,1200
26/12/2018,Happy Valley,7,1650
26/12/2018,Happy Valley,8,1650
23/12/2018,Sha Tin,1,1000
23/12/2018,Sha Tin,2,2000
23/12/2018,Sha Tin,3,1400
23/12/2018,Sha Tin,4,1400
23/12/2018,Sha Tin,5,1400
23/12/2018,Sha Tin,6,1200
23/12/2018,Sha Tin,7,2000
23/12/2018,Sha Tin,8,1200
23/12/2018,Sha Tin,9,1000
19/12/2018,Sha Tin,1,1650
19/12/2018,Sha Tin,2,1200
19/12/2018,Sha Tin,3,1650
19/12/2018,Sha Tin,4,1200
19/12/2018,Sha Tin,5,1200
19/12/2018,Sha Tin,7,1200
16/12/2018,Sha Tin,1,2200
16/12/2018,Sha Tin,2,1200
16/12/2018,Sha Tin,3,1000
16/12/2018,Sha Tin,4,1600
16/12/2018,Sha Tin,5,1400
16/12/2018,Sha Tin,6,1600
16/12/2018,Sha Tin,7,1400
16/12/2018,Sha Tin,8,1200
16/12/2018,Sha Tin,9,1400
16/12/2018,Sha Tin,10,1600
12/12/2018,Happy Valley,1,1650
12/12/2018,Happy Valley,2,1200
12/12/2018,Happy Valley,3,1650
12/12/2018,Happy Valley,4,1200
12/12/2018,Happy Valley,5,1800
12/12/2018,Happy Valley,6,1200
12/12/2018,Happy Valley,7,1000
12/12/2018,Happy Valley,8,1650
09/12/2018,Sha Tin,1,1400
09/12/2018,Sha Tin,2,1200
09/12/2018,Sha Tin,3,1800
09/12/2018,Sha Tin,4,2400
09/12/2018,Sha Tin,5,1200
09/12/2018,Sha Tin,6,1600
09/12/2018,Sha Tin,7,1600
09/12/2018,Sha Tin,8,2000
09/12/2018,Sha Tin,9,1200
09/12/2018,Sha Tin,10,1400
05/12/2018,Happy Valley,1,1650
05/12/2018,Happy Valley,2,1200
05/12/2018,Happy Valley,3,1200
05/12/2018,Happy Valley,4,1000
05/12/2018,Happy Valley,5,1650
05/12/2018,Happy Valley,6,1200
05/12/2018,Happy Valley,7,1650
05/12/2018,Happy Valley,8,1650
05/12/2018,Happy Valley,9,1800
02/12/2018,Sha Tin,1,1800
02/12/2018,Sha Tin,2,1400
02/12/2018,Sha Tin,3,1800
02/12/2018,Sha Tin,4,1200
02/12/2018,Sha Tin,5,1200
02/12/2018,Sha Tin,6,1000
02/12/2018,Sha Tin,7,1200
02/12/2018,Sha Tin,8,1650
02/12/2018,Sha Tin,9,1200
02/12/2018,Sha Tin,10,1400
28/11/2018,Happy Valley,1,1200
28/11/2018,Happy Valley,2,1650
28/11/2018,Happy Valley,3,1800
28/11/2018,Happy Valley,4,1200
28/11/2018,Happy Valley,5,2200
28/11/2018,Happy Valley,6,1200
28/11/2018,Happy Valley,7,1000
28/11/2018,Happy Valley,8,1200
25/11/2018,Sha Tin,1,1000
25/11/2018,Sha Tin,2,1400
25/11/2018,Sha Tin,3,1000
25/11/2018,Sha Tin,4,1600
25/11/2018,Sha Tin,5,1400
25/11/2018,Sha Tin,6,1400
25/11/2018,Sha Tin,7,1600
25/11/2018,Sha Tin,8,1200
25/11/2018,Sha Tin,9,1600
25/11/2018,Sha Tin,10,1400
21/11/2018,Happy Valley,1,1800
21/11/2018,Happy Valley,2,1000
21/11/2018,Happy Valley,3,1200
21/11/2018,Happy Valley,4,1200
21/11/2018,Happy Valley,5,1650
21/11/2018,Happy Valley,6,1650
21/11/2018,Happy Valley,7,1650
21/11/2018,Happy Valley,8,1200
18/11/2018,Sha Tin,1,1200
18/11/2018,Sha Tin,2,1650
18/11/2018,Sha Tin,3,1650
18/11/2018,Sha Tin,4,1000
18/11/2018,Sha Tin,5,1800
18/11/2018,Sha Tin,6,1600
14/11/2018,Happy Valley,1,1650
14/11/2018,Happy Valley,2,1200
14/11/2018,Happy Valley,3,1000
14/11/2018,Happy Valley,4,1200
14/11/2018,Happy Valley,5,1650
14/11/2018,Happy Valley,6,1200
14/11/2018,Happy Valley,7,1800
14/11/2018,Happy Valley,8,1650
10/11/2018,Sha Tin,1,2000
10/11/2018,Sha Tin,2,1200
10/11/2018,Sha Tin,3,1200
10/11/2018,Sha Tin,4,1200
10/11/2018,Sha Tin,5,1400
10/11/2018,Sha Tin,6,1800
10/11/2018,Sha Tin,7,1400
10/11/2018,Sha Tin,8,1400
10/11/2018,Sha Tin,9,1200
10/11/2018,Sha Tin,10,1600
07/11/2018,Happy Valley,1,1000
07/11/2018,Happy Valley,2,1200
07/11/2018,Happy Valley,3,1650
07/11/2018,Happy Valley,4,1200
07/11/2018,Happy Valley,5,1200
07/11/2018,Happy Valley,6,1650
07/11/2018,Happy Valley,7,1200
07/11/2018,Happy Valley,8,1200
04/11/2018,Sha Tin,1,1200
04/11/2018,Sha Tin,2,1000
04/11/2018,Sha Tin,3,1600
04/11/2018,Sha Tin,4,1600
04/11/2018,Sha Tin,5,1400
04/11/2018,Sha Tin,6,1000
04/11/2018,Sha Tin,7,1800
04/11/2018,Sha Tin,8,1800
04/11/2018,Sha Tin,9,1400
04/11/2018,Sha Tin,10,1400
31/10/2018,Sha Tin,1,1650
31/10/2018,Sha Tin,2,1200
31/10/2018,Sha Tin,3,1650
31/10/2018,Sha Tin,4,1200
31/10/2018,Sha Tin,5,1200
31/10/2018,Sha Tin,6,1800
31/10/2018,Sha Tin,7,1650
31/10/2018,Sha Tin,8,1200
28/10/2018,Happy Valley,1,2200
28/10/2018,Happy Valley,2,1650
28/10/2018,Happy Valley,3,1200
28/10/2018,Happy Valley,4,1650
28/10/2018,Happy Valley,5,1200
28/10/2018,Happy Valley,6,1200
28/10/2018,Happy Valley,7,1650
28/10/2018,Happy Valley,8,1000
28/10/2018,Happy Valley,9,1650
28/10/2018,Happy Valley,10,1200
24/10/2018,Happy Valley,1,1650
24/10/2018,Happy Valley,2,2200
24/10/2018,Happy Valley,3,1650
24/10/2018,Happy Valley,4,1200
24/10/2018,Happy Valley,5,1000
24/10/2018,Happy Valley,6,1200
24/10/2018,Happy Valley,7,1200
24/10/2018,Happy Valley,8,1200
21/10/2018,Sha Tin,1,2000
21/10/2018,Sha Tin,2,1600
21/10/2018,Sha Tin,3,1200
21/10/2018,Sha Tin,4,1800
21/10/2018,Sha Tin,5,1400
21/10/2018,Sha Tin,6,1600
21/10/2018,Sha Tin,7,1200
21/10/2018,Sha Tin,8,1600
21/10/2018,Sha Tin,9,1200
21/10/2018,Sha Tin,10,1400
18/10/2018,Happy Valley,1,1200
18/10/2018,Happy Valley,2,1200
18/10/2018,Happy Valley,3,1650
18/10/2018,Happy Valley,4,1800
18/10/2018,Happy Valley,5,1650
18/10/2018,Happy Valley,6,1000
18/10/2018,Happy Valley,7,1650
18/10/2018,Happy Valley,8,1200
13/10/2018,Sha Tin,1,1000
13/10/2018,Sha Tin,2,1800
13/10/2018,Sha Tin,3,1200
13/10/2018,Sha Tin,4,1200
13/10/2018,Sha Tin,5,1400
13/10/2018,Sha Tin,6,1200
13/10/2018,Sha Tin,7,1200
13/10/2018,Sha Tin,8,1600
13/10/2018,Sha Tin,9,1200
13/10/2018,Sha Tin,10,1400
10/10/2018,Happy Valley,1,1800
10/10/2018,Happy Valley,2,1200
10/10/2018,Happy Valley,3,1650
10/10/2018,Happy Valley,4,1000
10/10/2018,Happy Valley,5,1200
10/10/2018,Happy Valley,6,1200
10/10/2018,Happy Valley,7,1000
10/10/2018,Happy Valley,8,1650
07/10/2018,Sha Tin,1,1800
07/10/2018,Sha Tin,2,1650
07/10/2018,Sha Tin,3,1000
07/10/2018,Sha Tin,4,1400
07/10/2018,Sha Tin,5,1400
07/10/2018,Sha Tin,6,1600
07/10/2018,Sha Tin,7,1200
07/10/2018,Sha Tin,8,1200
07/10/2018,Sha Tin,9,1650
07/10/2018,Sha Tin,10,1400
03/10/2018,Happy Valley,1,1650
03/10/2018,Happy Valley,2,1800
03/10/2018,Happy Valley,3,1650
03/10/2018,Happy Valley,4,1200
03/10/2018,Happy Valley,5,1200
03/10/2018,Happy Valley,6,1200
03/10/2018,Happy Valley,7,1800
03/10/2018,Happy Valley,8,1200
01/10/2018,Sha Tin,1,1000
01/10/2018,Sha Tin,2,1800
01/10/2018,Sha Tin,3,1200
01/10/2018,Sha Tin,4,1400
01/10/2018,Sha Tin,5,1400
01/10/2018,Sha Tin,6,1600
01/10/2018,Sha Tin,7,1000
01/10/2018,Sha Tin,8,1400
01/10/2018,Sha Tin,9,1200
01/10/2018,Sha Tin,10,1200
26/09/2018,Happy Valley,1,1000
26/09/2018,Happy Valley,2,1800
26/09/2018,Happy Valley,3,1200
26/09/2018,Happy Valley,4,1200
26/09/2018,Happy Valley,5,1650
26/09/2018,Happy Valley,6,1650
26/09/2018,Happy Valley,7,1200
26/09/2018,Happy Valley,8,1200
22/09/2018,Sha Tin,1,1200
22/09/2018,Sha Tin,2,1200
22/09/2018,Sha Tin,3,1200
22/09/2018,Sha Tin,4,1600
22/09/2018,Sha Tin,5,1400
22/09/2018,Sha Tin,6,1200
22/09/2018,Sha Tin,7,1800
22/09/2018,Sha Tin,8,1000
22/09/2018,Sha Tin,9,1400
22/09/2018,Sha Tin,10,1400
12/09/2018,Happy Valley,1,1800
12/09/2018,Happy Valley,2,1200
12/09/2018,Happy Valley,3,1650
12/09/2018,Happy Valley,4,1200
12/09/2018,Happy Valley,5,1650
12/09/2018,Happy Valley,6,1000
12/09/2018,Happy Valley,7,1200
12/09/2018,Happy Valley,8,1650
09/09/2018,Sha Tin,1,1000
09/09/2018,Sha Tin,2,1400
09/09/2018,Sha Tin,3,1600
09/09/2018,Sha Tin,4,1400
09/09/2018,Sha Tin,5,1200
09/09/2018,Sha Tin,6,1200
09/09/2018,Sha Tin,7,1600
09/09/2018,Sha Tin,8,1400
09/09/2018,Sha Tin,9,1200
09/09/2018,Sha Tin,10,1200
05/09/2018,Happy Valley,1,1650
05/09/2018,Happy Valley,2,1200
05/09/2018,Happy Valley,3,1000
05/09/2018,Happy Valley,4,1200
05/09/2018,Happy Valley,5,1650
05/09/2018,Happy Valley,6,1200
05/09/2018,Happy Valley,7,1650
05/09/2018,Happy Valley,8,1200
02/09/2018,Sha Tin,1,1000
02/09/2018,Sha Tin,2,1600
02/09/2018,Sha Tin,3,1200
02/09/2018,Sha Tin,4,1200
02/09/2018,Sha Tin,5,1200
02/09/2018,Sha Tin,6,1400
02/09/2018,Sha Tin,7,1000
02/09/2018,Sha Tin,8,1400
02/09/2018,Sha Tin,9,1200
02/09/2018,Sha Tin,10,1400
15/07/2018,Sha Tin,1,1800
15/07/2018,Sha Tin,2,1200
15/07/2018,Sha Tin,3,1800
15/07/2018,Sha Tin,4,1200
15/07/2018,Sha Tin,5,1400
15/07/2018,Sha Tin,6,1400
15/07/2018,Sha Tin,7,1600
15/07/2018,Sha Tin,8,1600
15/07/2018,Sha Tin,9,1400
15/07/2018,Sha Tin,10,1200
11/07/2018,Happy Valley,1,1650
11/07/2018,Happy Valley,2,1200
11/07/2018,Happy Valley,3,1000
11/07/2018,Happy Valley,4,1650
11/07/2018,Happy Valley,5,1800
11/07/2018,Happy Valley,6,1000
11/07/2018,Happy Valley,7,1200
11/07/2018,Happy Valley,8,1200
08/07/2018,Sha Tin,1,1200
08/07/2018,Sha Tin,2,1200
08/07/2018,Sha Tin,3,1400
08/07/2018,Sha Tin,4,2000
08/07/2018,Sha Tin,5,1200
08/07/2018,Sha Tin,6,1200
08/07/2018,Sha Tin,7,1600
08/07/2018,Sha Tin,8,1200
08/07/2018,Sha Tin,9,1400
08/07/2018,Sha Tin,10,1200
04/07/2018,Happy Valley,1,1000
04/07/2018,Happy Valley,2,1650
04/07/2018,Happy Valley,3,1200
04/07/2018,Happy Valley,4,1200
04/07/2018,Happy Valley,5,1800
04/07/2018,Happy Valley,6,1200
04/07/2018,Happy Valley,7,1650
04/07/2018,Happy Valley,8,1650
01/07/2018,Sha Tin,1,1650
01/07/2018,Sha Tin,2,1000
01/07/2018,Sha Tin,3,2000
01/07/2018,Sha Tin,4,1200
01/07/2018,Sha Tin,5,1650
01/07/2018,Sha Tin,6,1400
01/07/2018,Sha Tin,7,1200
01/07/2018,Sha Tin,8,1200
01/07/2018,Sha Tin,9,1650
01/07/2018,Sha Tin,10,1400
27/06/2018,Happy Valley,1,2200
27/06/2018,Happy Valley,2,1200
27/06/2018,Happy Valley,3,1000
27/06/2018,Happy Valley,4,1650
27/06/2018,Happy Valley,5,1800
27/06/2018,Happy Valley,6,1000
27/06/2018,Happy Valley,7,1200
27/06/2018,Happy Valley,8,1650
24/06/2018,Sha Tin,1,2000
24/06/2018,Sha Tin,2,1400
24/06/2018,Sha Tin,3,1800
24/06/2018,Sha Tin,4,1200
24/06/2018,Sha Tin,5,1400
24/06/2018,Sha Tin,6,1600
24/06/2018,Sha Tin,7,1400
24/06/2018,Sha Tin,8,1200
24/06/2018,Sha Tin,9,1200
24/06/2018,Sha Tin,10,1400
16/06/2018,Sha Tin,1,1000
16/06/2018,Sha Tin,2,1200
16/06/2018,Sha Tin,3,1200
16/06/2018,Sha Tin,4,1400
16/06/2018,Sha Tin,5,1600
16/06/2018,Sha Tin,6,1200
16/06/2018,Sha Tin,7,1000
16/06/2018,Sha Tin,8,1600
16/06/2018,Sha Tin,9,1800
16/06/2018,Sha Tin,10,1400
13/06/2018,Happy Valley,1,1800
13/06/2018,Happy Valley,2,1650
13/06/2018,Happy Valley,3,1200
13/06/2018,Happy Valley,4,1200
13/06/2018,Happy Valley,5,1200
13/06/2018,Happy Valley,6,1650
13/06/2018,Happy Valley,7,1200
13/06/2018,Happy Valley,8,1200
10/06/2018,Sha Tin,1,1000
10/06/2018,Sha Tin,2,1650
10/06/2018,Sha Tin,3,1400
10/06/2018,Sha Tin,4,1800
10/06/2018,Sha Tin,5,1200
10/06/2018,Sha Tin,6,1800
10/06/2018,Sha Tin,7,1650
10/06/2018,Sha Tin,8,1200
10/06/2018,Sha Tin,9,1200
10/06/2018,Sha Tin,10,1400
06/06/2018,Happy Valley,1,1650
06/06/2018,Happy Valley,2,2200
06/06/2018,Happy Valley,3,1200
06/06/2018,Happy Valley,4,1000
06/06/2018,Happy Valley,5,1650
06/06/2018,Happy Valley,6,1200
06/06/2018,Happy Valley,7,1000
06/06/2018,Happy Valley,8,1650
03/06/2018,Sha Tin,1,1400
03/06/2018,Sha Tin,2,2000
03/06/2018,Sha Tin,3,1200
03/06/2018,Sha Tin,4,1200
03/06/2018,Sha Tin,5,1600
03/06/2018,Sha Tin,6,1600
03/06/2018,Sha Tin,7,1600
03/06/2018,Sha Tin,8,1000
03/06/2018,Sha Tin,9,1400
03/06/2018,Sha Tin,10,1200
30/05/2018,Sha Tin,1,1200
30/05/2018,Sha Tin,2,1800
30/05/2018,Sha Tin,3,1200
30/05/2018,Sha Tin,4,1200
30/05/2018,Sha Tin,5,1650
30/05/2018,Sha Tin,6,1200
30/05/2018,Sha Tin,7,1200
30/05/2018,Sha Tin,8,1650
27/05/2018,Sha Tin,1,1200
27/05/2018,Sha Tin,2,1000
27/05/2018,Sha Tin,3,1600
27/05/2018,Sha Tin,4,1200
27/05/2018,Sha Tin,5,1200
27/05/2018,Sha Tin,6,1400
27/05/2018,Sha Tin,7,1800
27/05/2018,Sha Tin,8,2400
27/05/2018,Sha Tin,9,1200
27/05/2018,Sha Tin,10,1400
23/05/2018,Happy Valley,1,1800
23/05/2018,Happy Valley,2,1200
23/05/2018,Happy Valley,4,1650
23/05/2018,Happy Valley,5,1800
23/05/2018,Happy Valley,6,1650
23/05/2018,Happy Valley,7,1200
20/05/2018,Sha Tin,1,2200
20/05/2018,Sha Tin,2,1400
20/05/2018,Sha Tin,3,1400
20/05/2018,Sha Tin,5,1000
20/05/2018,Sha Tin,6,1400
20/05/2018,Sha Tin,7,1200
20/05/2018,Sha Tin,8,1400
20/05/2018,Sha Tin,9,1200
20/05/2018,Sha Tin,10,1600
16/05/2018,Happy Valley,1,1650
16/05/2018,Happy Valley,2,1200
16/05/2018,Happy Valley,3,1000
16/05/2018,Happy Valley,4,1650
16/05/2018,Happy Valley,5,1200
16/05/2018,Happy Valley,6,1200
16/05/2018,Happy Valley,7,1800
16/05/2018,Happy Valley,8,1650
12/05/2018,Sha Tin,1,1000
12/05/2018,Sha Tin,2,2200
12/05/2018,Sha Tin,3,1200
12/05/2018,Sha Tin,5,1600
12/05/2018,Sha Tin,6,1200
12/05/2018,Sha Tin,7,1600
12/05/2018,Sha Tin,8,1400
12/05/2018,Sha Tin,9,1000
12/05/2018,Sha Tin,10,1400
09/05/2018,Happy Valley,1,1200
09/05/2018,Happy Valley,2,1200
09/05/2018,Happy Valley,3,1800
09/05/2018,Happy Valley,4,1650
09/05/2018,Happy Valley,5,1200
09/05/2018,Happy Valley,6,1650
09/05/2018,Happy Valley,7,1650
09/05/2018,Happy Valley,8,1200
06/05/2018,Sha Tin,1,1000
06/05/2018,Sha Tin,2,1600
06/05/2018,Sha Tin,3,1400
06/05/2018,Sha Tin,4,2400
06/05/2018,Sha Tin,5,1200
06/05/2018,Sha Tin,6,1200
06/05/2018,Sha Tin,7,1400
06/05/2018,Sha Tin,8,1000
06/05/2018,Sha Tin,9,2000
06/05/2018,Sha Tin,10,1200
02/05/2018,Sha Tin,1,1200
02/05/2018,Sha Tin,2,1800
02/05/2018,Sha Tin,3,1200
02/05/2018,Sha Tin,4,1650
02/05/2018,Sha Tin,5,1200
02/05/2018,Sha Tin,6,1650
02/05/2018,Sha Tin,7,1650
02/05/2018,Sha Tin,8,1200
29/04/2018,Sha Tin,2,1400
29/04/2018,Sha Tin,3,1600
29/04/2018,Sha Tin,4,1400
29/04/2018,Sha Tin,6,1600
29/04/2018,Sha Tin,7,1200
29/04/2018,Sha Tin,8,2000
29/04/2018,Sha Tin,9,1200
29/04/2018,Sha Tin,10,1600
25/04/2018,Happy Valley,1,1650
25/04/2018,Happy Valley,2,1200
25/04/2018,Happy Valley,3,2200
25/04/2018,Happy Valley,4,1650
25/04/2018,Happy Valley,5,1200
25/04/2018,Happy Valley,6,1000
25/04/2018,Happy Valley,7,1650
25/04/2018,Happy Valley,8,1200
21/04/2018,Sha Tin,1,1000
21/04/2018,Sha Tin,2,1650
21/04/2018,Sha Tin,3,1400
21/04/2018,Sha Tin,4,1200
21/04/2018,Sha Tin,5,1800
21/04/2018,Sha Tin,6,1400
21/04/2018,Sha Tin,7,1200
21/04/2018,Sha Tin,8,1400
21/04/2018,Sha Tin,9,1200
21/04/2018,Sha Tin,10,1400
18/04/2018,Happy Valley,2,1800
18/04/2018,Happy Valley,3,2200
18/04/2018,Happy Valley,4,1200
18/04/2018,Happy Valley,5,1000
18/04/2018,Happy Valley,6,1200
18/04/2018,Happy Valley,7,1200
18/04/2018,Happy Valley,8,1650
15/04/2018,Sha Tin,1,1000
15/04/2018,Sha Tin,2,1200
15/04/2018,Sha Tin,3,1600
15/04/2018,Sha Tin,4,1200
15/04/2018,Sha Tin,5,1400
15/04/2018,Sha Tin,6,1600
15/04/2018,Sha Tin,7,1000
15/04/2018,Sha Tin,8,2200
15/04/2018,Sha Tin,9,1400
15/04/2018,Sha Tin,10,1200
11/04/2018,Happy Valley,1,1200
11/04/2018,Happy Valley,2,1650
11/04/2018,Happy Valley,3,1200
11/04/2018,Happy Valley,4,1650
11/04/2018,Happy Valley,5,1000
11/04/2018,Happy Valley,6,1650
11/04/2018,Happy Valley,7,1650
11/04/2018,Happy Valley,8,1200
08/04/2018,Sha Tin,1,1000
08/04/2018,Sha Tin,2,1800
08/04/2018,Sha Tin,3,1800
08/04/2018,Sha Tin,4,1200
08/04/2018,Sha Tin,5,1650
08/04/2018,Sha Tin,6,1800
08/04/2018,Sha Tin,7,1200
08/04/2018,Sha Tin,8,1600
08/04/2018,Sha Tin,9,1000
08/04/2018,Sha Tin,10,1400
02/04/2018,Sha Tin,1,1200
02/04/2018,Sha Tin,2,1200
02/04/2018,Sha Tin,3,1200
02/04/2018,Sha Tin,4,1200
02/04/2018,Sha Tin,5,1200
02/04/2018,Sha Tin,6,1600
02/04/2018,Sha Tin,7,1400
02/04/2018,Sha Tin,8,1400
02/04/2018,Sha Tin,9,1600
02/04/2018,Sha Tin,10,1400
28/03/2018,Happy Valley,1,1650
28/03/2018,Happy Valley,2,1650
28/03/2018,Happy Valley,3,1200
28/03/2018,Happy Valley,4,1200
28/03/2018,Happy Valley,5,1200
28/03/2018,Happy Valley,6,1800
28/03/2018,Happy Valley,7,1200
28/03/2018,Happy Valley,8,1800
25/03/2018,Sha Tin,1,1200
25/03/2018,Sha Tin,2,1000
25/03/2018,Sha Tin,3,1400
25/03/2018,Sha Tin,4,2000
25/03/2018,Sha Tin,5,1600
25/03/2018,Sha Tin,6,1200
25/03/2018,Sha Tin,7,1200
25/03/2018,Sha Tin,8,1000
25/03/2018,Sha Tin,9,1600
25/03/2018,Sha Tin,10,1400
21/03/2018,Happy Valley,1,2200
21/03/2018,Happy Valley,2,1200
21/03/2018,Happy Valley,3,1650
21/03/2018,Happy Valley,4,1200
21/03/2018,Happy Valley,5,1200
21/03/2018,Happy Valley,6,1650
21/03/2018,Happy Valley,7,1650
21/03/2018,Happy Valley,8,1200
18/03/2018,Sha Tin,1,1600
18/03/2018,Sha Tin,2,1400
18/03/2018,Sha Tin,3,1600
18/03/2018,Sha Tin,4,2000
18/03/2018,Sha Tin,5,1200
18/03/2018,Sha Tin,6,1400
18/03/2018,Sha Tin,7,1200
18/03/2018,Sha Tin,8,2000
18/03/2018,Sha Tin,9,1200
18/03/2018,Sha Tin,10,1400
14/03/2018,Happy Valley,1,1200
14/03/2018,Happy Valley,2,1650
14/03/2018,Happy Valley,3,1000
14/03/2018,Happy Valley,4,1800
14/03/2018,Happy Valley,5,1200
14/03/2018,Happy Valley,6,1200
14/03/2018,Happy Valley,7,1000
14/03/2018,Happy Valley,8,1650
11/03/2018,Sha Tin,1,1400
11/03/2018,Sha Tin,2,1200
11/03/2018,Sha Tin,3,1650
