Date,Venue,Race,Length
11/03/2018,Sha Tin,4,1400
11/03/2018,Sha Tin,5,1650
11/03/2018,Sha Tin,6,1650
11/03/2018,Sha Tin,7,1200
11/03/2018,Sha Tin,8,1200
11/03/2018,Sha Tin,9,1400
11/03/2018,Sha Tin,10,1600
07/03/2018,Happy Valley,1,1800
07/03/2018,Happy Valley,2,1200
07/03/2018,Happy Valley,3,2200
07/03/2018,Happy Valley,4,1200
07/03/2018,Happy Valley,5,1650
07/03/2018,Happy Valley,6,1200
07/03/2018,Happy Valley,7,1200
07/03/2018,Happy Valley,8,1650
03/03/2018,Sha Tin,1,1000
03/03/2018,Sha Tin,2,1600
03/03/2018,Sha Tin,3,1400
03/03/2018,Sha Tin,4,1200
03/03/2018,Sha Tin,5,1600
03/03/2018,Sha Tin,6,1400
03/03/2018,Sha Tin,7,1800
03/03/2018,Sha Tin,8,1800
03/03/2018,Sha Tin,9,1000
03/03/2018,Sha Tin,10,1400
28/02/2018,Sha Tin,1,1200
28/02/2018,Sha Tin,2,1200
28/02/2018,Sha Tin,3,1200
28/02/2018,Sha Tin,4,1800
28/02/2018,Sha Tin,5,1650
28/02/2018,Sha Tin,6,1650
28/02/2018,Sha Tin,7,1200
28/02/2018,Sha Tin,8,1200
25/02/2018,Sha Tin,1,1200
25/02/2018,Sha Tin,2,1600
25/02/2018,Sha Tin,3,2000
25/02/2018,Sha Tin,4,1200
25/02/2018,Sha Tin,5,1200
25/02/2018,Sha Tin,6,1400
25/02/2018,Sha Tin,7,1600
25/02/2018,Sha Tin,8,2000
25/02/2018,Sha Tin,9,1400
25/02/2018,Sha Tin,10,1400
21/02/2018,Happy Valley,1,1000
21/02/2018,Happy Valley,2,1650
21/02/2018,Happy Valley,3,1200
21/02/2018,Happy Valley,4,1000
21/02/2018,Happy Valley,5,1650
21/02/2018,Happy Valley,6,1200
21/02/2018,Happy Valley,7,1800
21/02/2018,Happy Valley,8,1200
21/02/2018,Happy Valley,9,1650
18/02/2018,Sha Tin,1,1400
18/02/2018,Sha Tin,2,1400
18/02/2018,Sha Tin,3,1800
18/02/2018,Sha Tin,4,1200
18/02/2018,Sha Tin,5,1200
18/02/2018,Sha Tin,6,1000
18/02/2018,Sha Tin,7,2000
18/02/2018,Sha Tin,8,1400
18/02/2018,Sha Tin,9,1800
18/02/2018,Sha Tin,10,1200
14/02/2018,Happy Valley,1,1800
14/02/2018,Happy Valley,2,1200
14/02/2018,Happy Valley,3,1650
14/02/2018,Happy Valley,4,1200
14/02/2018,Happy Valley,5,1650
14/02/2018,Happy Valley,6,1000
14/02/2018,Happy Valley,7,1200
14/02/2018,Happy Valley,8,1650
10/02/2018,Sha Tin,1,1000
10/02/2018,Sha Tin,2,1650
10/02/2018,Sha Tin,3,1600
10/02/2018,Sha Tin,4,1200
10/02/2018,Sha Tin,5,1400
10/02/2018,Sha Tin,6,1650
10/02/2018,Sha Tin,7,1600
10/02/2018,Sha Tin,8,1400
10/02/2018,Sha Tin,9,1200
10/02/2018,Sha Tin,10,1200
07/02/2018,Happy Valley,1,1650
07/02/2018,Happy Valley,2,2200
07/02/2018,Happy Valley,3,1800
07/02/2018,Happy Valley,4,1200
07/02/2018,Happy Valley,5,1200
07/02/2018,Happy Valley,6,1650
07/02/2018,Happy Valley,7,1200
07/02/2018,Happy Valley,8,1650
04/02/2018,Sha Tin,1,1200
04/02/2018,Sha Tin,2,1200
04/02/2018,Sha Tin,3,1800
04/02/2018,Sha Tin,4,1400
04/02/2018,Sha Tin,5,1800
04/02/2018,Sha Tin,6,1400
04/02/2018,Sha Tin,7,1400
04/02/2018,Sha Tin,8,1400
04/02/2018,Sha Tin,9,1200
04/02/2018,Sha Tin,10,1400
31/01/2018,Happy Valley,1,1000
31/01/2018,Happy Valley,2,1800
31/01/2018,Happy Valley,3,1650
31/01/2018,Happy Valley,4,1200
31/01/2018,Happy Valley,5,1650
31/01/2018,Happy Valley,6,1650
31/01/2018,Happy Valley,7,1200
31/01/2018,Happy Valley,8,1200
28/01/2018,Sha Tin,1,1400
28/01/2018,Sha Tin,2,2000
28/01/2018,Sha Tin,3,1200
28/01/2018,Sha Tin,4,1600
28/01/2018,Sha Tin,5,1200
28/01/2018,Sha Tin,6,1000
28/01/2018,Sha Tin,7,1200
28/01/2018,Sha Tin,8,1600
28/01/2018,Sha Tin,9,1800
28/01/2018,Sha Tin,10,1600
24/01/2018,Sha Tin,1,1200
24/01/2018,Sha Tin,2,1200
24/01/2018,Sha Tin,3,1200
24/01/2018,Sha Tin,4,1650
24/01/2018,Sha Tin,5,1650
24/01/2018,Sha Tin,6,1800
24/01/2018,Sha Tin,7,1200
24/01/2018,Sha Tin,8,1650
21/01/2018,Sha Tin,1,1000
21/01/2018,Sha Tin,2,2000
21/01/2018,Sha Tin,3,1400
21/01/2018,Sha Tin,4,1400
21/01/2018,Sha Tin,5,1400
21/01/2018,Sha Tin,6,1200
21/01/2018,Sha Tin,7,1200
21/01/2018,Sha Tin,8,1400
21/01/2018,Sha Tin,9,1600
21/01/2018,Sha Tin,10,1400
17/01/2018,Happy Valley,1,1000
17/01/2018,Happy Valley,2,1650
17/01/2018,Happy Valley,3,1200
17/01/2018,Happy Valley,4,1650
17/01/2018,Happy Valley,5,1800
17/01/2018,Happy Valley,6,1200
17/01/2018,Happy Valley,7,1650
17/01/2018,Happy Valley,8,1200
13/01/2018,Sha Tin,1,1400
13/01/2018,Sha Tin,2,1400
13/01/2018,Sha Tin,3,1000
13/01/2018,Sha Tin,4,2200
13/01/2018,Sha Tin,5,1200
13/01/2018,Sha Tin,6,1200
13/01/2018,Sha Tin,7,1650
13/01/2018,Sha Tin,8,1600
13/01/2018,Sha Tin,9,1200
13/01/2018,Sha Tin,10,1400
10/01/2018,Happy Valley,1,1000
10/01/2018,Happy Valley,2,1200
10/01/2018,Happy Valley,3,1200
10/01/2018,Happy Valley,4,1650
10/01/2018,Happy Valley,5,1000
10/01/2018,Happy Valley,7,1650
10/01/2018,Happy Valley,8,1200
07/01/2018,Sha Tin,1,1000
07/01/2018,Sha Tin,2,1800
07/01/2018,Sha Tin,3,1650
07/01/2018,Sha Tin,4,1600
07/01/2018,Sha Tin,5,1400
07/01/2018,Sha Tin,6,1800
07/01/2018,Sha Tin,7,1000
07/01/2018,Sha Tin,8,1200
07/01/2018,Sha Tin,9,1400
07/01/2018,Sha Tin,10,1600
01/01/2018,Sha Tin,1,1400
01/01/2018,Sha Tin,2,1600
01/01/2018,Sha Tin,3,1400
01/01/2018,Sha Tin,4,1200
01/01/2018,Sha Tin,5,1600
01/01/2018,Sha Tin,7,1200
01/01/2018,Sha Tin,8,1400
01/01/2018,Sha Tin,9,1800
01/01/2018,Sha Tin,10,1400
27/12/2017,Happy Valley,1,1800
27/12/2017,Happy Valley,2,1200
27/12/2017,Happy Valley,3,1650
27/12/2017,Happy Valley,4,1000
27/12/2017,Happy Valley,5,1200
27/12/2017,Happy Valley,6,1000
27/12/2017,Happy Valley,7,1650
27/12/2017,Happy Valley,8,1650
23/12/2017,Sha Tin,1,2000
23/12/2017,Sha Tin,2,1200
23/12/2017,Sha Tin,3,1400
23/12/2017,Sha Tin,4,1650
23/12/2017,Sha Tin,5,1400
23/12/2017,Sha Tin,6,1000
23/12/2017,Sha Tin,7,1200
23/12/2017,Sha Tin,8,1650
23/12/2017,Sha Tin,9,2000
23/12/2017,Sha Tin,10,1400
20/12/2017,Happy Valley,1,1000
20/12/2017,Happy Valley,2,1200
20/12/2017,Happy Valley,4,1200
20/12/2017,Happy Valley,5,1650
20/12/2017,Happy Valley,6,2200
20/12/2017,Happy Valley,7,1200
20/12/2017,Happy Valley,8,1200
17/12/2017,Sha Tin,1,1000
17/12/2017,Sha Tin,2,1800
17/12/2017,Sha Tin,3,1200
17/12/2017,Sha Tin,4,1200
17/12/2017,Sha Tin,5,1200
17/12/2017,Sha Tin,6,1400
17/12/2017,Sha Tin,7,1600
17/12/2017,Sha Tin,8,1600
17/12/2017,Sha Tin,9,1200
17/12/2017,Sha Tin,10,1400
13/12/2017,Happy Valley,1,1650
13/12/2017,Happy Valley,2,1200
13/12/2017,Happy Valley,3,1200
13/12/2017,Happy Valley,4,1800
13/12/2017,Happy Valley,5,1650
13/12/2017,Happy Valley,6,1650
13/12/2017,Happy Valley,7,1650
13/12/2017,Happy Valley,8,1200
10/12/2017,Sha Tin,1,1800
10/12/2017,Sha Tin,2,1200
10/12/2017,Sha Tin,3,1400
10/12/2017,Sha Tin,4,2400
10/12/2017,Sha Tin,5,1200
06/12/2017,Happy Valley,1,1650
06/12/2017,Happy Valley,2,1200
06/12/2017,Happy Valley,3,1200
06/12/2017,Happy Valley,4,1650
06/12/2017,Happy Valley,5,1000
06/12/2017,Happy Valley,6,1000
06/12/2017,Happy Valley,7,1650
06/12/2017,Happy Valley,8,1650
06/12/2017,Happy Valley,9,1800
03/12/2017,Sha Tin,1,1200
03/12/2017,Sha Tin,2,1200
03/12/2017,Sha Tin,3,1400
03/12/2017,Sha Tin,4,1800
03/12/2017,Sha Tin,5,1200
03/12/2017,Sha Tin,6,1650
03/12/2017,Sha Tin,7,1000
03/12/2017,Sha Tin,8,1650
03/12/2017,Sha Tin,9,1200
03/12/2017,Sha Tin,10,1400
29/11/2017,Happy Valley,1,1650
29/11/2017,Happy Valley,2,1200
29/11/2017,Happy Valley,3,2200
26/11/2017,Sha Tin,1,1000
26/11/2017,Sha Tin,2,1200
26/11/2017,Sha Tin,3,1200
26/11/2017,Sha Tin,4,1400
26/11/2017,Sha Tin,5,1200
26/11/2017,Sha Tin,6,1600
26/11/2017,Sha Tin,8,1400
26/11/2017,Sha Tin,9,1600
26/11/2017,Sha Tin,10,1400
22/11/2017,Happy Valley,1,1200
22/11/2017,Happy Valley,2,2200
22/11/2017,Happy Valley,3,1200
22/11/2017,Happy Valley,4,1200
22/11/2017,Happy Valley,5,1650
22/11/2017,Happy Valley,6,1200
22/11/2017,Happy Valley,7,1200
22/11/2017,Happy Valley,8,1650
19/11/2017,Sha Tin,1,1650
19/11/2017,Sha Tin,2,1800
19/11/2017,Sha Tin,3,1400
19/11/2017,Sha Tin,4,2000
19/11/2017,Sha Tin,5,1800
19/11/2017,Sha Tin,6,2000
19/11/2017,Sha Tin,7,1200
19/11/2017,Sha Tin,8,1600
19/11/2017,Sha Tin,9,1400
19/11/2017,Sha Tin,10,1200
15/11/2017,Happy Valley,1,1000
15/11/2017,Happy Valley,2,1650
15/11/2017,Happy Valley,3,1200
15/11/2017,Happy Valley,4,1650
15/11/2017,Happy Valley,5,1200
15/11/2017,Happy Valley,6,1000
15/11/2017,Happy Valley,7,1650
15/11/2017,Happy Valley,8,1650
11/11/2017,Sha Tin,1,1400
11/11/2017,Sha Tin,2,1000
11/11/2017,Sha Tin,3,1600
11/11/2017,Sha Tin,4,1400
11/11/2017,Sha Tin,5,1200
11/11/2017,Sha Tin,6,1200
11/11/2017,Sha Tin,7,1400
11/11/2017,Sha Tin,8,1200
11/11/2017,Sha Tin,9,1600
11/11/2017,Sha Tin,10,1400
08/11/2017,Happy Valley,1,1800
08/11/2017,Happy Valley,2,1000
08/11/2017,Happy Valley,3,1200
08/11/2017,Happy Valley,4,1650
08/11/2017,Happy Valley,5,1200
08/11/2017,Happy Valley,6,1650
08/11/2017,Happy Valley,7,1200
08/11/2017,Happy Valley,8,1200
05/11/2017,Sha Tin,1,1200
05/11/2017,Sha Tin,2,1200
05/11/2017,Sha Tin,3,1000
05/11/2017,Sha Tin,4,1200
05/11/2017,Sha Tin,5,1800
05/11/2017,Sha Tin,6,1400
05/11/2017,Sha Tin,7,1800
05/11/2017,Sha Tin,8,1800
05/11/2017,Sha Tin,9,1400
05/11/2017,Sha Tin,10,1400
01/11/2017,Sha Tin,1,1200
01/11/2017,Sha Tin,2,1200
01/11/2017,Sha Tin,3,1650
01/11/2017,Sha Tin,4,1200
01/11/2017,Sha Tin,5,1650
01/11/2017,Sha Tin,6,1200
01/11/2017,Sha Tin,7,1650
01/11/2017,Sha Tin,8,1650
29/10/2017,Happy Valley,1,2200
29/10/2017,Happy Valley,2,1200
29/10/2017,Happy Valley,3,1200
29/10/2017,Happy Valley,4,1200
29/10/2017,Happy Valley,5,1650
29/10/2017,Happy Valley,6,1200
29/10/2017,Happy Valley,7,1000
29/10/2017,Happy Valley,8,1650
29/10/2017,Happy Valley,9,1650
29/10/2017,Happy Valley,10,1200
25/10/2017,Happy Valley,1,2200
25/10/2017,Happy Valley,2,1650
25/10/2017,Happy Valley,3,1800
25/10/2017,Happy Valley,4,1000
25/10/2017,Happy Valley,5,1200
25/10/2017,Happy Valley,6,1650
25/10/2017,Happy Valley,7,1650
25/10/2017,Happy Valley,8,1200
22/10/2017,Sha Tin,1,1000
22/10/2017,Sha Tin,2,1600
22/10/2017,Sha Tin,3,1400
22/10/2017,Sha Tin,4,1600
22/10/2017,Sha Tin,5,1400
22/10/2017,Sha Tin,6,1800
22/10/2017,Sha Tin,7,1200
22/10/2017,Sha Tin,8,1600
22/10/2017,Sha Tin,9,1200
22/10/2017,Sha Tin,10,1400
18/10/2017,Happy Valley,1,1200
18/10/2017,Happy Valley,2,1200
18/10/2017,Happy Valley,3,1650
18/10/2017,Happy Valley,4,1800
18/10/2017,Happy Valley,5,1200
18/10/2017,Happy Valley,6,1200
18/10/2017,Happy Valley,7,1200
18/10/2017,Happy Valley,8,1650
14/10/2017,Sha Tin,1,1600
14/10/2017,Sha Tin,2,1400
14/10/2017,Sha Tin,3,1800
14/10/2017,Sha Tin,4,1200
14/10/2017,Sha Tin,5,1400
14/10/2017,Sha Tin,6,1600
14/10/2017,Sha Tin,7,1200
14/10/2017,Sha Tin,8,1000
14/10/2017,Sha Tin,9,1200
14/10/2017,Sha Tin,10,1400
11/10/2017,Happy Valley,1,1000
11/10/2017,Happy Valley,2,1200
11/10/2017,Happy Valley,3,1200
11/10/2017,Happy Valley,4,1800
11/10/2017,Happy Valley,5,1650
11/10/2017,Happy Valley,6,1650
11/10/2017,Happy Valley,7,1000
11/10/2017,Happy Valley,8,1200
08/10/2017,Sha Tin,1,1000
08/10/2017,Sha Tin,2,2000
08/10/2017,Sha Tin,3,1200
08/10/2017,Sha Tin,4,1200
08/10/2017,Sha Tin,5,1400
08/10/2017,Sha Tin,6,1600
08/10/2017,Sha Tin,7,1650
08/10/2017,Sha Tin,8,1200
08/10/2017,Sha Tin,9,1650
08/10/2017,Sha Tin,10,1400
05/10/2017,Happy Valley,1,1650
05/10/2017,Happy Valley,2,1200
05/10/2017,Happy Valley,3,1800
05/10/2017,Happy Valley,4,1200
05/10/2017,Happy Valley,5,1200
05/10/2017,Happy Valley,6,1650
05/10/2017,Happy Valley,7,1000
05/10/2017,Happy Valley,8,1800
01/10/2017,Sha Tin,1,1200
01/10/2017,Sha Tin,2,1800
01/10/2017,Sha Tin,3,1200
01/10/2017,Sha Tin,4,1400
01/10/2017,Sha Tin,5,1600
01/10/2017,Sha Tin,6,1200
01/10/2017,Sha Tin,7,1000
01/10/2017,Sha Tin,8,1400
01/10/2017,Sha Tin,9,1400
01/10/2017,Sha Tin,10,1200
27/09/2017,Happy Valley,1,1200
27/09/2017,Happy Valley,2,1200
27/09/2017,Happy Valley,3,1650
27/09/2017,Happy Valley,4,1650
27/09/2017,Happy Valley,5,1000
27/09/2017,Happy Valley,6,1200
27/09/2017,Happy Valley,7,1650
27/09/2017,Happy Valley,8,1200
24/09/2017,Sha Tin,1,1800
24/09/2017,Sha Tin,2,1200
24/09/2017,Sha Tin,3,1200
24/09/2017,Sha Tin,4,1400
24/09/2017,Sha Tin,5,1400
24/09/2017,Sha Tin,6,1200
24/09/2017,Sha Tin,7,1200
24/09/2017,Sha Tin,8,1200
24/09/2017,Sha Tin,9,1400
24/09/2017,Sha Tin,10,1400
20/09/2017,Happy Valley,1,1200
20/09/2017,Happy Valley,2,1800
20/09/2017,Happy Valley,3,1800
20/09/2017,Happy Valley,4,1650
20/09/2017,Happy Valley,5,1200
20/09/2017,Happy Valley,6,1650
20/09/2017,Happy Valley,7,1200
20/09/2017,Happy Valley,8,1200
13/09/2017,Happy Valley,1,1200
13/09/2017,Happy Valley,2,1200
13/09/2017,Happy Valley,3,1650
13/09/2017,Happy Valley,4,1000
13/09/2017,Happy Valley,5,1650
13/09/2017,Happy Valley,6,1650
13/09/2017,Happy Valley,7,1200
13/09/2017,Happy Valley,8,1650
10/09/2017,Sha Tin,1,1200
10/09/2017,Sha Tin,2,1000
10/09/2017,Sha Tin,3,1600
10/09/2017,Sha Tin,4,1400
10/09/2017,Sha Tin,5,1400
10/09/2017,Sha Tin,6,1200
10/09/2017,Sha Tin,7,1400
10/09/2017,Sha Tin,8,1600
10/09/2017,Sha Tin,9,1200
10/09/2017,Sha Tin,10,1200
06/09/2017,Happy Valley,1,1200
06/09/2017,Happy Valley,2,1650
06/09/2017,Happy Valley,3,1650
06/09/2017,Happy Valley,4,1000
06/09/2017,Happy Valley,5,1200
06/09/2017,Happy Valley,6,1200
06/09/2017,Happy Valley,7,1650
06/09/2017,Happy Valley,8,1200
03/09/2017,Sha Tin,1,1000
03/09/2017,Sha Tin,2,1600
03/09/2017,Sha Tin,3,1200
03/09/2017,Sha Tin,4,1200
03/09/2017,Sha Tin,5,1200
03/09/2017,Sha Tin,6,1400
03/09/2017,Sha Tin,7,1000
03/09/2017,Sha Tin,8,1400
03/09/2017,Sha Tin,9,1200
03/09/2017,Sha Tin,10,1400
16/07/2017,Sha Tin,1,1200
16/07/2017,Sha Tin,2,1800
16/07/2017,Sha Tin,3,1200
16/07/2017,Sha Tin,4,1400
16/07/2017,Sha Tin,5,1800
16/07/2017,Sha Tin,6,1400
16/07/2017,Sha Tin,7,1600
16/07/2017,Sha Tin,8,1600
16/07/2017,Sha Tin,9,1400
16/07/2017,Sha Tin,10,1200
12/07/2017,Happy Valley,1,1000
12/07/2017,Happy Valley,2,1650
12/07/2017,Happy Valley,3,1650
12/07/2017,Happy Valley,5,1000
12/07/2017,Happy Valley,6,1200
12/07/2017,Happy Valley,7,1800
12/07/2017,Happy Valley,8,1200
01/07/2017,Sha Tin,1,1200
01/07/2017,Sha Tin,2,1200
01/07/2017,Sha Tin,3,1650
01/07/2017,Sha Tin,4,2000
01/07/2017,Sha Tin,5,1200
01/07/2017,Sha Tin,6,1800
01/07/2017,Sha Tin,7,1400
01/07/2017,Sha Tin,8,1650
01/07/2017,Sha Tin,9,1400
01/07/2017,Sha Tin,10,1200
28/06/2017,Happy Valley,1,2200
28/06/2017,Happy Valley,2,1650
28/06/2017,Happy Valley,3,1650
28/06/2017,Happy Valley,4,1200
28/06/2017,Happy Valley,5,1200
28/06/2017,Happy Valley,6,1650
28/06/2017,Happy Valley,7,1650
28/06/2017,Happy Valley,8,1200
25/06/2017,Sha Tin,1,1400
25/06/2017,Sha Tin,2,1000
25/06/2017,Sha Tin,3,1800
25/06/2017,Sha Tin,4,1200
25/06/2017,Sha Tin,5,1200
25/06/2017,Sha Tin,6,1400
25/06/2017,Sha Tin,7,1400
25/06/2017,Sha Tin,8,1600
25/06/2017,Sha Tin,9,1200
25/06/2017,Sha Tin,10,1400
21/06/2017,Happy Valley,1,1000
21/06/2017,Happy Valley,2,1650
21/06/2017,Happy Valley,3,1200
21/06/2017,Happy Valley,4,1800
21/06/2017,Happy Valley,5,1200
21/06/2017,Happy Valley,6,1650
21/06/2017,Happy Valley,7,1200
21/06/2017,Happy Valley,8,1650
18/06/2017,Sha Tin,1,1000
18/06/2017,Sha Tin,2,1800
18/06/2017,Sha Tin,3,1400
18/06/2017,Sha Tin,4,1650
18/06/2017,Sha Tin,5,1200
18/06/2017,Sha Tin,6,1800
18/06/2017,Sha Tin,7,1650
18/06/2017,Sha Tin,8,1200
18/06/2017,Sha Tin,9,1600
18/06/2017,Sha Tin,10,1200
14/06/2017,Happy Valley,1,1650
14/06/2017,Happy Valley,2,1650
14/06/2017,Happy Valley,3,1200
14/06/2017,Happy Valley,4,1000
14/06/2017,Happy Valley,5,1200
14/06/2017,Happy Valley,6,1650
14/06/2017,Happy Valley,7,1800
14/06/2017,Happy Valley,8,1200
11/06/2017,Sha Tin,1,1000
11/06/2017,Sha Tin,2,1200
11/06/2017,Sha Tin,3,1200
11/06/2017,Sha Tin,4,2200
11/06/2017,Sha Tin,5,1600
11/06/2017,Sha Tin,6,1200
11/06/2017,Sha Tin,7,1400
11/06/2017,Sha Tin,8,1200
11/06/2017,Sha Tin,9,1400
11/06/2017,Sha Tin,10,1600
07/06/2017,Happy Valley,1,1650
07/06/2017,Happy Valley,2,1200
07/06/2017,Happy Valley,3,1200
07/06/2017,Happy Valley,4,1650
07/06/2017,Happy Valley,5,1800
07/06/2017,Happy Valley,6,1200
07/06/2017,Happy Valley,7,1200
07/06/2017,Happy Valley,8,1200
04/06/2017,Sha Tin,1,1200
04/06/2017,Sha Tin,2,1200
04/06/2017,Sha Tin,3,1400
04/06/2017,Sha Tin,4,1200
04/06/2017,Sha Tin,5,2000
04/06/2017,Sha Tin,6,1400
04/06/2017,Sha Tin,7,1600
04/06/2017,Sha Tin,8,1200
04/06/2017,Sha Tin,9,1000
04/06/2017,Sha Tin,10,1400
31/05/2017,Sha Tin,1,1800
31/05/2017,Sha Tin,2,1800
31/05/2017,Sha Tin,3,1200
31/05/2017,Sha Tin,4,1650
31/05/2017,Sha Tin,5,1200
31/05/2017,Sha Tin,6,1200
31/05/2017,Sha Tin,7,1650
31/05/2017,Sha Tin,8,1650
28/05/2017,Sha Tin,1,2000
28/05/2017,Sha Tin,2,1000
28/05/2017,Sha Tin,3,1600
28/05/2017,Sha Tin,4,1400
28/05/2017,Sha Tin,5,1400
28/05/2017,Sha Tin,6,1400
28/05/2017,Sha Tin,7,2400
28/05/2017,Sha Tin,8,1200
28/05/2017,Sha Tin,9,1400
28/05/2017,Sha Tin,10,1200
24/05/2017,Happy Valley,1,1650
24/05/2017,Happy Valley,2,1200
24/05/2017,Happy Valley,3,1200
24/05/2017,Happy Valley,4,1650
24/05/2017,Happy Valley,5,1650
24/05/2017,Happy Valley,6,1650
