Date,Venue,Race,Length
24/05/2017,Happy Valley,7,1000
24/05/2017,Happy Valley,8,1200
21/05/2017,Sha Tin,1,1200
21/05/2017,Sha Tin,2,1200
21/05/2017,Sha Tin,3,1200
21/05/2017,Sha Tin,4,1800
21/05/2017,Sha Tin,5,1400
21/05/2017,Sha Tin,6,1400
21/05/2017,Sha Tin,7,1200
21/05/2017,Sha Tin,8,1200
21/05/2017,Sha Tin,9,1600
21/05/2017,Sha Tin,10,1600
17/05/2017,Happy Valley,1,1000
17/05/2017,Happy Valley,2,2200
17/05/2017,Happy Valley,3,1800
17/05/2017,Happy Valley,4,1650
17/05/2017,Happy Valley,5,1200
17/05/2017,Happy Valley,6,1200
17/05/2017,Happy Valley,7,1200
17/05/2017,Happy Valley,8,1200
13/05/2017,Sha Tin,1,1000
13/05/2017,Sha Tin,2,1400
13/05/2017,Sha Tin,3,1400
13/05/2017,Sha Tin,4,1650
13/05/2017,Sha Tin,5,1000
13/05/2017,Sha Tin,6,1400
13/05/2017,Sha Tin,7,1000
13/05/2017,Sha Tin,8,1650
13/05/2017,Sha Tin,9,1400
13/05/2017,Sha Tin,10,1400
10/05/2017,Happy Valley,1,1000
10/05/2017,Happy Valley,2,1200
10/05/2017,Happy Valley,3,1200
10/05/2017,Happy Valley,4,1650
10/05/2017,Happy Valley,5,1650
10/05/2017,Happy Valley,7,1800
10/05/2017,Happy Valley,8,1200
07/05/2017,Sha Tin,1,1600
07/05/2017,Sha Tin,2,2000
07/05/2017,Sha Tin,3,1200
07/05/2017,Sha Tin,4,1600
07/05/2017,Sha Tin,5,2000
07/05/2017,Sha Tin,6,1000
07/05/2017,Sha Tin,7,1600
07/05/2017,Sha Tin,8,1200
07/05/2017,Sha Tin,9,1200
07/05/2017,Sha Tin,10,1400
30/04/2017,Sha Tin,1,1400
30/04/2017,Sha Tin,2,1200
30/04/2017,Sha Tin,3,1400
30/04/2017,Sha Tin,4,1400
30/04/2017,Sha Tin,5,1600
30/04/2017,Sha Tin,6,2400
30/04/2017,Sha Tin,7,1400
30/04/2017,Sha Tin,8,2000
30/04/2017,Sha Tin,9,1200
30/04/2017,Sha Tin,10,1600
26/04/2017,Happy Valley,1,1650
26/04/2017,Happy Valley,2,2200
26/04/2017,Happy Valley,3,1200
26/04/2017,Happy Valley,4,1200
26/04/2017,Happy Valley,5,1650
26/04/2017,Happy Valley,6,1650
26/04/2017,Happy Valley,7,1200
26/04/2017,Happy Valley,8,1200
23/04/2017,Sha Tin,1,1200
23/04/2017,Sha Tin,2,1000
23/04/2017,Sha Tin,3,1650
23/04/2017,Sha Tin,4,1650
23/04/2017,Sha Tin,5,1400
23/04/2017,Sha Tin,6,1200
23/04/2017,Sha Tin,7,1000
23/04/2017,Sha Tin,8,1200
23/04/2017,Sha Tin,9,1800
23/04/2017,Sha Tin,10,1400
20/04/2017,Happy Valley,1,2200
20/04/2017,Happy Valley,2,1650
20/04/2017,Happy Valley,3,1200
20/04/2017,Happy Valley,4,1000
20/04/2017,Happy Valley,5,1650
20/04/2017,Happy Valley,6,1000
20/04/2017,Happy Valley,7,1200
20/04/2017,Happy Valley,8,1650
17/04/2017,Sha Tin,1,1000
17/04/2017,Sha Tin,2,1400
17/04/2017,Sha Tin,3,1800
17/04/2017,Sha Tin,4,1200
17/04/2017,Sha Tin,5,1400
17/04/2017,Sha Tin,6,1200
17/04/2017,Sha Tin,7,1200
17/04/2017,Sha Tin,8,1200
17/04/2017,Sha Tin,9,1600
17/04/2017,Sha Tin,10,1400
12/04/2017,Happy Valley,1,1000
12/04/2017,Happy Valley,2,1200
12/04/2017,Happy Valley,3,1650
12/04/2017,Happy Valley,4,1200
12/04/2017,Happy Valley,5,1200
12/04/2017,Happy Valley,6,2200
12/04/2017,Happy Valley,7,1200
12/04/2017,Happy Valley,8,1650
09/04/2017,Sha Tin,1,1000
09/04/2017,Sha Tin,2,1400
09/04/2017,Sha Tin,3,1800
09/04/2017,Sha Tin,4,1200
09/04/2017,Sha Tin,5,1000
09/04/2017,Sha Tin,6,1600
09/04/2017,Sha Tin,7,1200
09/04/2017,Sha Tin,8,1600
09/04/2017,Sha Tin,9,2200
09/04/2017,Sha Tin,10,1400
05/04/2017,Sha Tin,1,1200
05/04/2017,Sha Tin,2,1800
05/04/2017,Sha Tin,3,1650
05/04/2017,Sha Tin,4,1650
05/04/2017,Sha Tin,5,1200
05/04/2017,Sha Tin,6,1200
05/04/2017,Sha Tin,7,1200
05/04/2017,Sha Tin,8,1650
02/04/2017,Sha Tin,1,1200
02/04/2017,Sha Tin,2,1400
02/04/2017,Sha Tin,3,1200
02/04/2017,Sha Tin,4,1400
02/04/2017,Sha Tin,5,1200
02/04/2017,Sha Tin,6,1400
02/04/2017,Sha Tin,7,1400
02/04/2017,Sha Tin,8,1200
02/04/2017,Sha Tin,9,1400
29/03/2017,Happy Valley,1,1650
29/03/2017,Happy Valley,2,1200
29/03/2017,Happy Valley,3,1200
29/03/2017,Happy Valley,4,1650
29/03/2017,Happy Valley,5,1200
29/03/2017,Happy Valley,6,1000
29/03/2017,Happy Valley,7,1650
29/03/2017,Happy Valley,8,1200
26/03/2017,Sha Tin,1,2000
26/03/2017,Sha Tin,2,1600
26/03/2017,Sha Tin,3,1000
26/03/2017,Sha Tin,4,1200
26/03/2017,Sha Tin,5,1200
26/03/2017,Sha Tin,6,1200
26/03/2017,Sha Tin,7,1200
26/03/2017,Sha Tin,8,1600
26/03/2017,Sha Tin,9,1400
26/03/2017,Sha Tin,10,1600
22/03/2017,Happy Valley,1,1650
22/03/2017,Happy Valley,2,1000
22/03/2017,Happy Valley,3,1200
22/03/2017,Happy Valley,4,1800
22/03/2017,Happy Valley,5,1200
22/03/2017,Happy Valley,6,1200
22/03/2017,Happy Valley,7,1800
22/03/2017,Happy Valley,8,1650
19/03/2017,Sha Tin,1,1200
19/03/2017,Sha Tin,2,1400
19/03/2017,Sha Tin,3,1400
19/03/2017,Sha Tin,4,1000
19/03/2017,Sha Tin,5,1600
19/03/2017,Sha Tin,6,1400
19/03/2017,Sha Tin,7,2000
19/03/2017,Sha Tin,8,2000
19/03/2017,Sha Tin,9,1200
19/03/2017,Sha Tin,10,1400
15/03/2017,Happy Valley,1,1200
15/03/2017,Happy Valley,2,1800
15/03/2017,Happy Valley,3,1200
15/03/2017,Happy Valley,4,1650
15/03/2017,Happy Valley,5,1000
15/03/2017,Happy Valley,6,1200
15/03/2017,Happy Valley,7,1650
15/03/2017,Happy Valley,8,1200
12/03/2017,Sha Tin,1,1650
12/03/2017,Sha Tin,2,1200
12/03/2017,Sha Tin,3,1400
12/03/2017,Sha Tin,5,2200
12/03/2017,Sha Tin,6,1200
12/03/2017,Sha Tin,7,1000
12/03/2017,Sha Tin,8,1650
12/03/2017,Sha Tin,9,1600
12/03/2017,Sha Tin,10,1400
08/03/2017,Happy Valley,1,1000
08/03/2017,Happy Valley,2,1000
08/03/2017,Happy Valley,3,1650
08/03/2017,Happy Valley,4,1650
08/03/2017,Happy Valley,5,1200
08/03/2017,Happy Valley,6,1200
08/03/2017,Happy Valley,7,1800
08/03/2017,Happy Valley,8,1200
05/03/2017,Sha Tin,1,1200
05/03/2017,Sha Tin,2,1600
05/03/2017,Sha Tin,3,1000
05/03/2017,Sha Tin,4,1200
05/03/2017,Sha Tin,5,1200
05/03/2017,Sha Tin,6,1400
05/03/2017,Sha Tin,7,1400
05/03/2017,Sha Tin,8,1200
05/03/2017,Sha Tin,9,1400
05/03/2017,Sha Tin,10,1400
01/03/2017,Sha Tin,1,1800
01/03/2017,Sha Tin,2,1650
01/03/2017,Sha Tin,3,1200
01/03/2017,Sha Tin,4,1800
01/03/2017,Sha Tin,5,1200
01/03/2017,Sha Tin,6,1650
01/03/2017,Sha Tin,7,1200
01/03/2017,Sha Tin,8,1200
26/02/2017,Sha Tin,1,1000
26/02/2017,Sha Tin,2,1400
26/02/2017,Sha Tin,3,1400
26/02/2017,Sha Tin,4,1400
26/02/2017,Sha Tin,5,1000
26/02/2017,Sha Tin,6,1200
26/02/2017,Sha Tin,7,2000
26/02/2017,Sha Tin,8,1600
26/02/2017,Sha Tin,9,2000
26/02/2017,Sha Tin,10,1600
22/02/2017,Happy Valley,1,1650
22/02/2017,Happy Valley,2,1650
22/02/2017,Happy Valley,3,1200
22/02/2017,Happy Valley,4,1650
22/02/2017,Happy Valley,5,1000
22/02/2017,Happy Valley,7,1200
22/02/2017,Happy Valley,8,1650
19/02/2017,Sha Tin,1,1200
19/02/2017,Sha Tin,2,1200
19/02/2017,Sha Tin,3,1400
19/02/2017,Sha Tin,4,1200
19/02/2017,Sha Tin,5,1200
19/02/2017,Sha Tin,6,1800
19/02/2017,Sha Tin,7,2000
19/02/2017,Sha Tin,8,1800
19/02/2017,Sha Tin,9,1400
19/02/2017,Sha Tin,10,1400
15/02/2017,Happy Valley,1,1000
15/02/2017,Happy Valley,2,1650
15/02/2017,Happy Valley,3,1650
15/02/2017,Happy Valley,4,1200
15/02/2017,Happy Valley,5,1200
15/02/2017,Happy Valley,6,1200
15/02/2017,Happy Valley,7,1650
15/02/2017,Happy Valley,8,1800
11/02/2017,Sha Tin,1,1650
11/02/2017,Sha Tin,2,1800
11/02/2017,Sha Tin,3,1200
11/02/2017,Sha Tin,4,1650
11/02/2017,Sha Tin,5,1000
11/02/2017,Sha Tin,6,1600
11/02/2017,Sha Tin,7,1600
11/02/2017,Sha Tin,8,1200
11/02/2017,Sha Tin,9,1400
11/02/2017,Sha Tin,10,1400
08/02/2017,Happy Valley,1,1650
08/02/2017,Happy Valley,2,1200
08/02/2017,Happy Valley,3,1200
08/02/2017,Happy Valley,4,1200
08/02/2017,Happy Valley,5,2200
08/02/2017,Happy Valley,6,1200
08/02/2017,Happy Valley,7,1650
08/02/2017,Happy Valley,8,1200
05/02/2017,Sha Tin,1,1400
05/02/2017,Sha Tin,2,1000
05/02/2017,Sha Tin,3,1200
05/02/2017,Sha Tin,4,1400
05/02/2017,Sha Tin,5,1800
05/02/2017,Sha Tin,6,1400
05/02/2017,Sha Tin,7,1800
05/02/2017,Sha Tin,8,1400
05/02/2017,Sha Tin,9,1200
05/02/2017,Sha Tin,10,1200
02/02/2017,Happy Valley,1,1000
02/02/2017,Happy Valley,2,2200
02/02/2017,Happy Valley,3,1650
02/02/2017,Happy Valley,4,1650
02/02/2017,Happy Valley,5,1200
02/02/2017,Happy Valley,6,1000
02/02/2017,Happy Valley,7,1200
02/02/2017,Happy Valley,8,1650
30/01/2017,Sha Tin,1,1200
30/01/2017,Sha Tin,3,2000
30/01/2017,Sha Tin,4,1200
30/01/2017,Sha Tin,5,1200
30/01/2017,Sha Tin,6,1000
30/01/2017,Sha Tin,7,1400
30/01/2017,Sha Tin,8,1400
30/01/2017,Sha Tin,9,1600
30/01/2017,Sha Tin,10,1200
25/01/2017,Happy Valley,1,1000
25/01/2017,Happy Valley,2,1650
25/01/2017,Happy Valley,3,2200
25/01/2017,Happy Valley,4,1200
25/01/2017,Happy Valley,5,1650
25/01/2017,Happy Valley,6,1200
25/01/2017,Happy Valley,7,1650
25/01/2017,Happy Valley,8,1200
25/01/2017,Happy Valley,9,1650
22/01/2017,Sha Tin,1,1000
22/01/2017,Sha Tin,2,1400
22/01/2017,Sha Tin,3,1400
22/01/2017,Sha Tin,4,1200
22/01/2017,Sha Tin,5,1400
22/01/2017,Sha Tin,6,1000
22/01/2017,Sha Tin,7,1800
22/01/2017,Sha Tin,8,1200
22/01/2017,Sha Tin,9,1600
22/01/2017,Sha Tin,10,1400
18/01/2017,Sha Tin,1,1200
18/01/2017,Sha Tin,2,1800
18/01/2017,Sha Tin,3,1200
18/01/2017,Sha Tin,4,1200
18/01/2017,Sha Tin,5,1200
18/01/2017,Sha Tin,6,1650
18/01/2017,Sha Tin,7,1800
18/01/2017,Sha Tin,8,1200
14/01/2017,Sha Tin,1,1200
14/01/2017,Sha Tin,2,1200
14/01/2017,Sha Tin,3,1200
14/01/2017,Sha Tin,4,1600
14/01/2017,Sha Tin,5,1200
14/01/2017,Sha Tin,6,1400
14/01/2017,Sha Tin,7,1200
14/01/2017,Sha Tin,8,1400
14/01/2017,Sha Tin,9,1800
14/01/2017,Sha Tin,10,1400
11/01/2017,Happy Valley,1,1650
11/01/2017,Happy Valley,2,1000
11/01/2017,Happy Valley,3,1200
11/01/2017,Happy Valley,4,1650
11/01/2017,Happy Valley,5,1650
11/01/2017,Happy Valley,6,1000
11/01/2017,Happy Valley,7,1650
11/01/2017,Happy Valley,8,1200
08/01/2017,Sha Tin,1,1600
08/01/2017,Sha Tin,2,1400
08/01/2017,Sha Tin,3,1000
08/01/2017,Sha Tin,4,1200
08/01/2017,Sha Tin,5,1800
08/01/2017,Sha Tin,6,1400
08/01/2017,Sha Tin,7,1400
08/01/2017,Sha Tin,8,1400
08/01/2017,Sha Tin,9,1200
08/01/2017,Sha Tin,10,1600
04/01/2017,Happy Valley,1,1200
04/01/2017,Happy Valley,2,1200
04/01/2017,Happy Valley,3,1200
04/01/2017,Happy Valley,4,1650
04/01/2017,Happy Valley,5,1800
04/01/2017,Happy Valley,6,1200
04/01/2017,Happy Valley,7,1800
04/01/2017,Happy Valley,8,1650
01/01/2017,Sha Tin,2,1000
01/01/2017,Sha Tin,3,1400
01/01/2017,Sha Tin,4,1600
01/01/2017,Sha Tin,5,1200
01/01/2017,Sha Tin,6,1200
01/01/2017,Sha Tin,7,1400
01/01/2017,Sha Tin,8,1400
01/01/2017,Sha Tin,9,1600
01/01/2017,Sha Tin,10,1400
27/12/2016,Sha Tin,1,1200
27/12/2016,Sha Tin,2,1600
27/12/2016,Sha Tin,3,1400
27/12/2016,Sha Tin,4,1200
27/12/2016,Sha Tin,5,1200
27/12/2016,Sha Tin,6,1800
27/12/2016,Sha Tin,7,1650
27/12/2016,Sha Tin,8,1000
27/12/2016,Sha Tin,9,2000
27/12/2016,Sha Tin,10,1650
22/12/2016,Happy Valley,1,1650
22/12/2016,Happy Valley,2,1650
22/12/2016,Happy Valley,3,1200
22/12/2016,Happy Valley,4,1200
22/12/2016,Happy Valley,5,1650
22/12/2016,Happy Valley,6,2200
22/12/2016,Happy Valley,8,1200
17/12/2016,Sha Tin,1,1650
17/12/2016,Sha Tin,2,1000
17/12/2016,Sha Tin,3,1650
17/12/2016,Sha Tin,4,1200
17/12/2016,Sha Tin,5,1600
17/12/2016,Sha Tin,6,1400
17/12/2016,Sha Tin,7,1200
17/12/2016,Sha Tin,8,1000
17/12/2016,Sha Tin,9,1400
17/12/2016,Sha Tin,10,1600
14/12/2016,Happy Valley,1,2200
14/12/2016,Happy Valley,2,1200
14/12/2016,Happy Valley,3,1800
14/12/2016,Happy Valley,8,1650
11/12/2016,Sha Tin,1,1200
11/12/2016,Sha Tin,2,1800
11/12/2016,Sha Tin,3,1400
11/12/2016,Sha Tin,4,2400
11/12/2016,Sha Tin,5,1200
11/12/2016,Sha Tin,6,1400
11/12/2016,Sha Tin,7,1600
11/12/2016,Sha Tin,8,2000
11/12/2016,Sha Tin,9,1200
11/12/2016,Sha Tin,10,1600
07/12/2016,Happy Valley,1,1650
07/12/2016,Happy Valley,2,1000
07/12/2016,Happy Valley,3,1200
07/12/2016,Happy Valley,4,1000
04/12/2016,Sha Tin,1,1200
04/12/2016,Sha Tin,2,1800
04/12/2016,Sha Tin,4,1200
04/12/2016,Sha Tin,5,1650
04/12/2016,Sha Tin,6,1000
04/12/2016,Sha Tin,7,1400
04/12/2016,Sha Tin,8,1650
04/12/2016,Sha Tin,9,1400
04/12/2016,Sha Tin,10,1200
30/11/2016,Happy Valley,1,1200
30/11/2016,Happy Valley,5,1800
30/11/2016,Happy Valley,7,1800
30/11/2016,Happy Valley,8,1200
27/11/2016,Sha Tin,1,1400
27/11/2016,Sha Tin,2,1400
27/11/2016,Sha Tin,3,1000
27/11/2016,Sha Tin,4,1200
23/11/2016,Happy Valley,1,1000
23/11/2016,Happy Valley,2,1800
23/11/2016,Happy Valley,3,1200
23/11/2016,Happy Valley,4,1200
23/11/2016,Happy Valley,5,1650
23/11/2016,Happy Valley,6,1650
23/11/2016,Happy Valley,7,1650
20/11/2016,Sha Tin,1,1400
20/11/2016,Sha Tin,2,1200
20/11/2016,Sha Tin,6,2000
20/11/2016,Sha Tin,9,1600
20/11/2016,Sha Tin,10,1200
16/11/2016,Happy Valley,1,1200
16/11/2016,Happy Valley,2,1000
16/11/2016,Happy Valley,3,1200
16/11/2016,Happy Valley,4,-1
16/11/2016,Happy Valley,5,1650
16/11/2016,Happy Valley,6,1650
16/11/2016,Happy Valley,7,1800
16/11/2016,Happy Valley,8,1200
12/11/2016,Sha Tin,1,2000
12/11/2016,Sha Tin,2,1200
12/11/2016,Sha Tin,3,1650
12/11/2016,Sha Tin,4,1400
12/11/2016,Sha Tin,5,1650
12/11/2016,Sha Tin,6,1400
12/11/2016,Sha Tin,7,1000
12/11/2016,Sha Tin,8,1400
12/11/2016,Sha Tin,9,1200
12/11/2016,Sha Tin,10,1600
09/11/2016,Happy Valley,1,1000
09/11/2016,Happy Valley,2,1650
09/11/2016,Happy Valley,3,1650
09/11/2016,Happy Valley,4,1200
09/11/2016,Happy Valley,5,1200
09/11/2016,Happy Valley,7,1200
09/11/2016,Happy Valley,8,1200
06/11/2016,Sha Tin,1,1400
06/11/2016,Sha Tin,2,1200
06/11/2016,Sha Tin,3,1400
06/11/2016,Sha Tin,5,1000
06/11/2016,Sha Tin,6,1600
06/11/2016,Sha Tin,7,1400
06/11/2016,Sha Tin,8,1800
06/11/2016,Sha Tin,9,1400
06/11/2016,Sha Tin,10,1400
02/11/2016,Sha Tin,1,1200
02/11/2016,Sha Tin,2,1200
02/11/2016,Sha Tin,3,1650
02/11/2016,Sha Tin,4,1200
02/11/2016,Sha Tin,5,1200
02/11/2016,Sha Tin,6,1800
02/11/2016,Sha Tin,7,1200
02/11/2016,Sha Tin,8,1650
30/10/2016,Happy Valley,1,1650
30/10/2016,Happy Valley,2,1800
30/10/2016,Happy Valley,3,1200
30/10/2016,Happy Valley,4,1650
30/10/2016,Happy Valley,5,1200
30/10/2016,Happy Valley,6,1650
23/10/2016,Sha Tin,4,1400
23/10/2016,Sha Tin,6,1200
23/10/2016,Sha Tin,7,1200
23/10/2016,Sha Tin,8,1600
23/10/2016,Sha Tin,9,1600
23/10/2016,Sha Tin,10,1800
19/10/2016,Happy Valley,2,1800
19/10/2016,Happy Valley,3,1200
19/10/2016,Happy Valley,4,1200
19/10/2016,Happy Valley,5,1650
19/10/2016,Happy Valley,6,1650
19/10/2016,Happy Valley,7,1200
19/10/2016,Happy Valley,8,1200
16/10/2016,Sha Tin,1,1000
16/10/2016,Sha Tin,2,1600
16/10/2016,Sha Tin,3,1400
16/10/2016,Sha Tin,4,1200
16/10/2016,Sha Tin,5,1400
16/10/2016,Sha Tin,6,1600
16/10/2016,Sha Tin,7,1800
16/10/2016,Sha Tin,8,1200
16/10/2016,Sha Tin,9,1400
16/10/2016,Sha Tin,10,1000
12/10/2016,Happy Valley,1,1650
12/10/2016,Happy Valley,2,1200
12/10/2016,Happy Valley,3,1650
12/10/2016,Happy Valley,4,1200
12/10/2016,Happy Valley,5,1650
12/10/2016,Happy Valley,6,1000
12/10/2016,Happy Valley,7,1800
12/10/2016,Happy Valley,8,1200
08/10/2016,Sha Tin,1,1200
08/10/2016,Sha Tin,2,1200
08/10/2016,Sha Tin,3,1200
08/10/2016,Sha Tin,4,1400
08/10/2016,Sha Tin,5,1650
08/10/2016,Sha Tin,6,1650
08/10/2016,Sha Tin,7,1000
08/10/2016,Sha Tin,8,1600
08/10/2016,Sha Tin,9,1200
08/10/2016,Sha Tin,10,1400
05/10/2016,Happy Valley,1,1800
05/10/2016,Happy Valley,2,1200
05/10/2016,Happy Valley,3,1200
05/10/2016,Happy Valley,4,1200
05/10/2016,Happy Valley,5,1650
05/10/2016,Happy Valley,6,1650
05/10/2016,Happy Valley,7,1650
05/10/2016,Happy Valley,8,1200
01/10/2016,Sha Tin,1,1400
01/10/2016,Sha Tin,3,1400
01/10/2016,Sha Tin,4,1600
01/10/2016,Sha Tin,5,1200
01/10/2016,Sha Tin,6,1200
01/10/2016,Sha Tin,7,1200
01/10/2016,Sha Tin,8,1000
01/10/2016,Sha Tin,9,1400
01/10/2016,Sha Tin,10,1400
28/09/2016,Happy Valley,1,1650
28/09/2016,Happy Valley,2,1200
28/09/2016,Happy Valley,3,1650
28/09/2016,Happy Valley,4,1200
28/09/2016,Happy Valley,5,1000
28/09/2016,Happy Valley,6,1800
28/09/2016,Happy Valley,7,1200
28/09/2016,Happy Valley,8,1650
25/09/2016,Sha Tin,1,1200
25/09/2016,Sha Tin,2,1600
25/09/2016,Sha Tin,3,1400
25/09/2016,Sha Tin,4,1200
25/09/2016,Sha Tin,5,1200
25/09/2016,Sha Tin,7,1200
25/09/2016,Sha Tin,8,1200
25/09/2016,Sha Tin,9,1600
25/09/2016,Sha Tin,10,1400
21/09/2016,Happy Valley,1,1800
21/09/2016,Happy Valley,2,1800
21/09/2016,Happy Valley,3,1200
21/09/2016,Happy Valley,4,1650
21/09/2016,Happy Valley,5,1200
21/09/2016,Happy Valley,6,1200
21/09/2016,Happy Valley,7,1200
21/09/2016,Happy Valley,8,1650
18/09/2016,Sha Tin,1,1650
18/09/2016,Sha Tin,2,1200
18/09/2016,Sha Tin,3,1650
18/09/2016,Sha Tin,4,1000
18/09/2016,Sha Tin,6,1200
18/09/2016,Sha Tin,7,1000
18/09/2016,Sha Tin,9,1000
18/09/2016,Sha Tin,10,1400
11/09/2016,Sha Tin,1,1000
11/09/2016,Sha Tin,2,1200
11/09/2016,Sha Tin,4,1200
11/09/2016,Sha Tin,5,1400
11/09/2016,Sha Tin,6,1200
11/09/2016,Sha Tin,7,1600
11/09/2016,Sha Tin,8,1200
11/09/2016,Sha Tin,9,1400
11/09/2016,Sha Tin,10,1600
07/09/2016,Happy Valley,1,1200
07/09/2016,Happy Valley,2,1200
07/09/2016,Happy Valley,3,1650
07/09/2016,Happy Valley,4,1650
07/09/2016,Happy Valley,5,1200
07/09/2016,Happy Valley,6,1650
07/09/2016,Happy Valley,7,1200
